scored_at,forecast_file,forecast_issue,points_compared,MAE,sMAPE,MAE_base,Gain,k_exog,train_window_days,last_refit,spec_sha256,order,order_p,order_d,order_q,seasonal_order,seasonal_P,seasonal_D,seasonal_Q,seasonal_m
2025-10-07 10:37,2025-10-06_1012.csv,2025-10-06 1012,24,1176.909,1.976,2061.646,42.9,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-08 10:37,2025-10-07_1037.csv,2025-10-07 1037,24,1553.36,2.693,2180.083,28.7,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-09 10:37,2025-10-08_1037.csv,2025-10-08 1037,24,1434.411,2.487,1554.177,7.7,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-10 11:10,2025-10-09_1037.csv,2025-10-09 1037,24,6165.383,11.582,6036.948,-2.1,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-11 12:48,2025-10-10_1036.csv,2025-10-10 1036,24,2443.862,4.895,7273.656,66.4,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-12 12:48,2025-10-11_1248.csv,2025-10-11 1248,24,2081.892,4.668,2568.677,19.0,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-13 12:51,2025-10-12_1248.csv,2025-10-12 1248,24,1057.188,2.058,2345.646,54.9,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-15 12:52,2025-10-14_1250.csv,2025-10-14 1250,24,756.141,1.301,930.99,18.8,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-16 12:51,2025-10-15_1252.csv,2025-10-15 1252,24,965.419,1.706,901.844,-7.0,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
2025-10-17 12:49,2025-10-16_1251.csv,2025-10-16 1251,24,1017.597,1.715,1976.75,48.5,2,90,2025-09-26 15:23:52,79f92e6e9b4d,"(1,0,0)",1,0,0,"(0,1,0,168)",0,1,0,168
